,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Old Field village, New York: Summary level: 160, state:36> place:54617",794,43,16,0,751,182,16,0,0,22,21
"Setauket-East Setauket CDP, New York: Summary level: 160, state:36> place:66481",13077,306,65,0,12771,3272,180,0,0,269,270
"Wainscott CDP, New York: Summary level: 160, state:36> place:77805",300,43,16,0,257,26,11,0,0,26,0
"Cattaraugus village, New York: Summary level: 160, state:36> place:13024",926,133,43,0,793,165,0,0,3,20,4
"South Dayton village, New York: Summary level: 160, state:36> place:68891",639,107,17,0,532,129,11,4,4,18,18
"West Carthage village, New York: Summary level: 160, state:36> place:79499",1429,238,27,7,1191,278,11,0,7,46,54
"Speculator village, New York: Summary level: 160, state:36> place:70123",345,12,7,0,333,41,0,0,0,0,3
"Fleischmanns village, New York: Summary level: 160, state:36> place:26209",214,34,9,1,180,50,5,1,0,7,2
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",4962,423,69,0,4539,1048,38,44,0,157,68
"Milton CDP (Saratoga County), New York: Summary level: 160, state:36> place:47548",2996,66,18,0,2930,762,38,0,0,112,58
"Hewlett Neck village, New York: Summary level: 160, state:36> place:34319",449,2,0,0,447,180,4,0,0,8,3
"Jericho CDP, New York: Summary level: 160, state:36> place:38539",13375,710,250,0,12665,3247,243,0,35,416,203
"Lawrence village, New York: Summary level: 160, state:36> place:41553",6419,233,132,16,6186,2321,152,16,17,77,174
"Manorhaven village, New York: Summary level: 160, state:36> place:45106",6235,1079,585,0,5156,1235,149,30,0,281,265
"Merrick CDP, New York: Summary level: 160, state:36> place:46668",19313,586,117,0,18727,4726,254,0,0,460,480
"Mineola village, New York: Summary level: 160, state:36> place:47636",18421,788,127,0,17633,3649,298,32,17,449,531
"New Cassel CDP, New York: Summary level: 160, state:36> place:50067",14056,1813,710,20,12243,3143,123,38,100,469,348
"North Hills village, New York: Summary level: 160, state:36> place:53022",5509,33,5,0,5476,661,45,0,0,77,98
"Jamestown West CDP, New York: Summary level: 160, state:36> place:38275",2329,134,36,0,2195,362,0,0,0,64,10
"Sinclairville village, New York: Summary level: 160, state:36> place:67488",775,177,89,15,598,162,8,28,0,16,7
"Castorland village, New York: Summary level: 160, state:36> place:12881",354,92,47,0,262,68,6,0,0,9,12
"Livonia village, New York: Summary level: 160, state:36> place:42950",1318,113,26,0,1205,346,20,0,16,38,16
"Norwood village, New York: Summary level: 160, state:36> place:54012",1557,288,63,19,1269,267,25,14,12,23,46
"Binghamton city, New York: Summary level: 160, state:36> place:06607",42016,13781,6207,304,28235,5728,325,696,646,726,667
"Whitney Point village, New York: Summary level: 160, state:36> place:81831",870,110,39,0,760,152,8,0,0,41,26
"Bergen village, New York: Summary level: 160, state:36> place:06046",1079,112,35,0,967,215,8,13,2,13,42
"West Hampton Dunes village, New York: Summary level: 160, state:36> place:80186",65,0,0,0,65,6,4,0,0,6,2
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1128,35,15,0,1093,227,9,0,0,15,12
"Newark Valley village, New York: Summary level: 160, state:36> place:49902",1061,103,44,0,958,319,10,8,3,26,26
"Cairo CDP, New York: Summary level: 160, state:36> place:11638",1015,141,21,0,874,148,0,0,0,0,0
"Palenville CDP, New York: Summary level: 160, state:36> place:56132",846,45,20,20,801,124,0,20,0,61,20
"Poland village, New York: Summary level: 160, state:36> place:58937",357,59,13,0,298,66,3,0,20,12,12
"Crown Heights CDP, New York: Summary level: 160, state:36> place:19229",2787,78,10,0,2709,764,32,0,0,65,14
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",3151,228,41,0,2923,651,51,0,0,82,89
"Pawling village, New York: Summary level: 160, state:36> place:56814",2054,132,47,11,1922,378,19,10,0,14,36
"Red Oaks Mill CDP, New York: Summary level: 160, state:36> place:60983",3095,63,1,0,3032,613,11,0,0,111,46
"Hillcrest CDP, New York: Summary level: 160, state:36> place:34693",6865,391,106,0,6474,1708,61,0,44,301,201
"Mount Ivy CDP, New York: Summary level: 160, state:36> place:48879",6596,783,291,106,5813,1473,73,77,182,191,154
"Preston-Potter Hollow CDP, New York: Summary level: 160, state:36> place:59831",289,26,12,0,263,40,0,0,4,0,0
"Shortsville village, New York: Summary level: 160, state:36> place:67257",1248,101,15,0,1147,208,3,0,0,28,7
"Gorham CDP, New York: Summary level: 160, state:36> place:29520",631,84,57,0,547,111,8,0,28,39,8
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",244,18,0,0,226,56,2,0,0,5,14
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",273,36,0,0,237,27,6,0,0,10,12
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",740,177,97,18,563,78,14,0,28,17,6
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",820,44,12,0,776,146,8,0,0,38,18
"Tillson CDP, New York: Summary level: 160, state:36> place:73902",1592,123,0,0,1469,329,0,0,0,53,8
"Saranac Lake village, New York: Summary level: 160, state:36> place:65233",5241,884,362,16,4357,700,61,74,29,70,67
"Albion village, New York: Summary level: 160, state:36> place:01033",5194,868,197,41,4326,1084,113,66,56,73,86
"Medina village, New York: Summary level: 160, state:36> place:46415",5571,994,250,0,4577,956,160,24,12,99,125
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",7200,618,275,12,6582,1611,73,48,11,118,279
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",2940,21,0,0,2919,697,56,0,0,116,88
"Brookhaven CDP, New York: Summary level: 160, state:36> place:09000",2991,379,33,0,2612,548,31,0,0,49,71
"East Patchogue CDP, New York: Summary level: 160, state:36> place:22733",21741,1938,363,67,19803,4878,323,123,116,534,348
"Ames village, New York: Summary level: 160, state:36> place:01737",131,11,0,0,120,18,0,0,0,0,1
"Fultonville village, New York: Summary level: 160, state:36> place:27859",565,97,44,0,468,113,3,0,0,15,18
"Duanesburg CDP, New York: Summary level: 160, state:36> place:20995",435,0,0,0,435,54,0,0,0,0,0
"Fair Haven village, New York: Summary level: 160, state:36> place:24988",832,69,8,0,763,117,5,7,4,11,19
"Morrisonville CDP, New York: Summary level: 160, state:36> place:48538",1330,114,17,0,1216,261,12,0,0,37,11
"Rouses Point village, New York: Summary level: 160, state:36> place:63979",2126,344,101,5,1782,322,12,14,25,47,30
"Cohoes city, New York: Summary level: 160, state:36> place:16749",15028,1976,550,40,13052,2475,198,106,150,332,511
"Plainview CDP, New York: Summary level: 160, state:36> place:58442",25074,1091,170,16,23983,6133,412,32,0,598,745
"Port Washington North village, New York: Summary level: 160, state:36> place:59531",3100,207,32,0,2893,676,172,0,0,108,167
"Roslyn Harbor village, New York: Summary level: 160, state:36> place:63803",909,20,7,4,889,252,12,2,4,17,15
"Searingtown CDP, New York: Summary level: 160, state:36> place:66102",4424,133,83,0,4291,1054,27,0,0,94,62
"Thomaston village, New York: Summary level: 160, state:36> place:73605",2541,240,92,16,2301,651,53,12,21,75,36
"Clayville village, New York: Summary level: 160, state:36> place:16111",241,26,10,0,215,47,4,0,0,8,6
"New Hartford village, New York: Summary level: 160, state:36> place:50298",1702,203,74,0,1499,335,26,0,0,32,24
"Vernon village, New York: Summary level: 160, state:36> place:77112",1111,163,45,0,948,176,2,11,10,15,16
"Whitesboro village, New York: Summary level: 160, state:36> place:81710",3643,615,210,0,3028,580,39,0,0,42,0
"Fairmount CDP, New York: Summary level: 160, state:36> place:25043",9618,492,66,0,9126,1820,134,0,0,216,329
"Village Green CDP, New York: Summary level: 160, state:36> place:77513",3663,279,110,0,3384,553,88,16,49,116,73
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",1604,60,0,0,1544,345,31,0,0,41,0
"McGraw village, New York: Summary level: 160, state:36> place:44193",847,58,6,0,789,179,5,0,4,14,26
"Munsons Corners CDP, New York: Summary level: 160, state:36> place:49242",2567,637,225,0,1930,469,48,0,12,45,15
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",2208,205,77,0,2003,254,22,17,0,45,15
"Bellerose village, New York: Summary level: 160, state:36> place:05639",1148,76,31,0,1072,334,33,0,0,32,23
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",15114,409,152,0,14705,3569,159,32,0,382,445
"East Rockaway village, New York: Summary level: 160, state:36> place:22876",9427,437,106,31,8990,2071,233,0,0,247,280
"Garden City Park CDP, New York: Summary level: 160, state:36> place:28189",7771,344,107,0,7427,1601,85,44,0,185,302
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",1095,39,0,0,1056,238,42,0,0,28,66
"Hicksville CDP, New York: Summary level: 160, state:36> place:34374",41802,1994,700,0,39808,9531,452,11,20,871,801
"Lattingtown village, New York: Summary level: 160, state:36> place:41432",1792,50,7,0,1742,447,29,0,0,38,15
"Levittown CDP, New York: Summary level: 160, state:36> place:42081",50024,2131,670,31,47893,11192,940,49,13,1188,1225
"Locust Valley CDP, New York: Summary level: 160, state:36> place:43192",3018,274,76,0,2744,606,31,0,0,88,49
"Lynbrook village, New York: Summary level: 160, state:36> place:43874",18949,671,128,8,18278,4390,204,32,16,408,506
"Manhasset CDP, New York: Summary level: 160, state:36> place:44897",7485,418,131,0,7067,1860,99,7,0,211,156
"North Valley Stream CDP, New York: Summary level: 160, state:36> place:53748",18612,699,212,0,17913,4539,251,0,0,384,447
"Old Brookville village, New York: Summary level: 160, state:36> place:54562",1654,39,11,0,1615,454,9,3,8,38,7
"Oyster Bay CDP, New York: Summary level: 160, state:36> place:55992",6041,173,26,0,5868,1507,89,0,0,128,118
"Oswego city, New York: Summary level: 160, state:36> place:55574",16245,4522,2357,98,11723,2216,124,158,156,354,270
"Parish village, New York: Summary level: 160, state:36> place:56341",466,51,18,4,415,91,13,0,9,18,13
"Pulaski village, New York: Summary level: 160, state:36> place:59960",1940,344,65,11,1596,280,15,64,42,17,26
"Redwood CDP, New York: Summary level: 160, state:36> place:61016",580,54,0,0,526,137,10,8,0,9,37
"Sackets Harbor village, New York: Summary level: 160, state:36> place:64408",1593,105,33,0,1488,389,27,0,0,20,64
"Cheektowaga CDP, New York: Summary level: 160, state:36> place:15000",70378,7340,2087,142,63038,11581,589,251,389,1701,1181
"Nelsonville village, New York: Summary level: 160, state:36> place:49781",657,20,4,0,637,156,6,0,0,9,49
"Rye Brook village, New York: Summary level: 160, state:36> place:64325",9147,419,165,9,8728,2421,217,20,17,214,171
"Tuckahoe village, New York: Summary level: 160, state:36> place:75583",6404,413,0,0,5991,1399,146,0,0,251,137
"Elma Center CDP, New York: Summary level: 160, state:36> place:24141",2974,19,1,0,2955,634,17,0,0,0,139
"Middleport village, New York: Summary level: 160, state:36> place:46998",1701,237,71,3,1464,365,24,18,33,37,36
"Avoca village, New York: Summary level: 160, state:36> place:03331",930,158,41,0,772,164,5,3,7,14,19
"Montauk CDP, New York: Summary level: 160, state:36> place:48054",3504,106,14,0,3398,456,0,15,0,62,56
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",349,110,36,6,239,18,4,19,24,11,6
"Rock Hill CDP, New York: Summary level: 160, state:36> place:63132",1402,18,18,0,1384,300,38,0,0,15,38
"South Fallsburg CDP, New York: Summary level: 160, state:36> place:68968",2363,1120,344,14,1243,311,9,163,122,9,42
"Champlain village, New York: Summary level: 160, state:36> place:13739",949,171,38,3,778,184,0,3,25,3,53
"Dannemora village, New York: Summary level: 160, state:36> place:19642",758,97,58,0,661,166,0,7,0,9,12
"Rushville village, New York: Summary level: 160, state:36> place:64199",618,98,38,0,520,115,3,14,4,18,15
"Newfane CDP, New York: Summary level: 160, state:36> place:50221",3472,483,166,0,2989,667,31,0,0,117,65
"Olcott CDP, New York: Summary level: 160, state:36> place:54540",1132,152,34,6,980,207,0,0,6,8,0
"Elmont CDP, New York: Summary level: 160, state:36> place:24273",34939,2351,716,96,32588,8225,324,94,38,819,700
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",2089,168,46,0,1921,308,12,0,0,12,18
"Yorktown Heights CDP, New York: Summary level: 160, state:36> place:84088",1390,119,0,0,1271,183,13,0,0,13,0
"Fort Montgomery CDP, New York: Summary level: 160, state:36> place:26902",1525,0,0,0,1525,302,0,0,0,0,83
"Pine Bush CDP, New York: Summary level: 160, state:36> place:57980",1386,252,24,0,1134,223,22,23,26,19,35
"Walton Park CDP, New York: Summary level: 160, state:36> place:78063",2547,90,25,0,2457,681,11,0,0,99,52
"Salisbury CDP, New York: Summary level: 160, state:36> place:64842",11226,380,59,0,10846,2474,178,29,29,430,428
"South Farmingdale CDP, New York: Summary level: 160, state:36> place:69001",14504,689,341,0,13815,3335,303,0,0,296,465
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",1477,219,13,0,1258,256,63,0,0,114,66
"North Syracuse village, New York: Summary level: 160, state:36> place:53660",6372,718,131,0,5654,1005,29,0,92,151,184
"Arkport village, New York: Summary level: 160, state:36> place:02583",847,59,3,0,788,275,20,0,0,7,15
"Savona village, New York: Summary level: 160, state:36> place:65354",771,183,55,0,588,113,9,18,32,34,22
"South Hill CDP, New York: Summary level: 160, state:36> place:69199",2519,532,484,0,1987,423,16,0,0,30,39
"Hagaman village, New York: Summary level: 160, state:36> place:31291",1402,131,54,0,1271,197,13,0,23,52,35
"Morrisville village, New York: Summary level: 160, state:36> place:48593",629,119,32,3,510,105,2,11,0,23,19
"Andover village, New York: Summary level: 160, state:36> place:02143",808,72,16,0,736,168,15,0,0,19,10
"Norwich city, New York: Summary level: 160, state:36> place:53979",6324,1458,467,72,4866,1142,110,136,84,129,166
"Lyons CDP, New York: Summary level: 160, state:36> place:43962",3214,616,107,39,2598,484,11,71,31,47,63
"Gang Mills CDP, New York: Summary level: 160, state:36> place:28145",4221,343,90,0,3878,1232,21,33,31,115,51
"Oakdale CDP, New York: Summary level: 160, state:36> place:54144",7037,275,78,0,6762,1441,67,0,0,63,126
"Orient CDP, New York: Summary level: 160, state:36> place:55321",776,52,4,0,724,84,7,0,0,13,0
"Quogue village, New York: Summary level: 160, state:36> place:60422",793,56,20,0,737,174,33,0,10,3,16
"Ridge CDP, New York: Summary level: 160, state:36> place:61665",13101,963,249,47,12138,2346,165,45,95,346,275
"Ronkonkoma CDP, New York: Summary level: 160, state:36> place:63473",17663,866,93,0,16797,3883,345,13,16,510,508
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",2020,90,7,0,1930,550,42,0,0,16,74
"Spencer village, New York: Summary level: 160, state:36> place:70167",761,99,40,0,662,148,0,4,0,18,6
"Catskill village, New York: Summary level: 160, state:36> place:13002",3758,1432,309,23,2326,386,13,16,23,26,48
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",564,96,24,0,468,59,0,0,0,33,12
"Harrison village, New York: Summary level: 160, state:36> place:32402",23214,1267,356,0,21947,5793,320,0,70,509,743
"Jefferson Valley-Yorktown CDP, New York: Summary level: 160, state:36> place:38500",13910,342,8,0,13568,3479,362,0,0,593,428
"Lake Mohegan CDP, New York: Summary level: 160, state:36> place:40689",5652,213,21,0,5439,1463,68,0,0,225,28
"Milton CDP (Ulster County), New York: Summary level: 160, state:36> place:47554",1295,42,0,0,1253,233,7,0,0,15,30
"Greenwich village, New York: Summary level: 160, state:36> place:30675",1844,139,34,0,1705,407,13,8,15,49,54
"Holley village, New York: Summary level: 160, state:36> place:35155",1644,269,65,13,1375,245,32,10,43,44,28
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",8999,654,225,0,8345,2107,84,0,0,181,255
"Medford CDP, New York: Summary level: 160, state:36> place:46404",23193,1973,634,49,21220,5224,268,231,62,519,200
"Town Line CDP, New York: Summary level: 160, state:36> place:75121",1740,54,12,0,1686,384,35,0,0,12,35
"Cornwall-on-Hudson village, New York: Summary level: 160, state:36> place:18333",2875,112,21,4,2763,740,32,0,4,36,32
"Woodbury village, New York: Summary level: 160, state:36> place:82750",10554,750,449,14,9804,2803,152,12,14,221,281
"Sagaponack village, New York: Summary level: 160, state:36> place:64452",252,0,0,0,252,48,0,0,0,4,8
"Westport CDP, New York: Summary level: 160, state:36> place:80764",402,45,18,0,357,49,0,0,0,2,0
"Ticonderoga CDP, New York: Summary level: 160, state:36> place:73880",2888,446,114,37,2442,472,22,5,37,156,61
"Schenevus CDP, New York: Summary level: 160, state:36> place:65519",479,98,16,0,381,58,0,11,6,0,0
"Fillmore CDP, New York: Summary level: 160, state:36> place:25747",462,47,16,0,415,91,4,3,0,8,16
"South Blooming Grove village, New York: Summary level: 160, state:36> place:68610",2976,198,32,26,2778,703,36,59,11,74,79
"Andes CDP, New York: Summary level: 160, state:36> place:02121",234,15,0,0,219,42,0,0,0,0,0
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",151,8,0,0,143,43,0,0,0,0,0
"Lido Beach CDP, New York: Summary level: 160, state:36> place:42279",2967,65,12,0,2902,778,0,0,0,15,9
"Matinecock village, New York: Summary level: 160, state:36> place:46107",880,41,14,5,839,305,13,5,0,19,2
"Mill Neck village, New York: Summary level: 160, state:36> place:47405",997,54,6,0,943,261,6,0,0,10,5
"Munsey Park village, New York: Summary level: 160, state:36> place:49231",2663,20,14,0,2643,902,113,0,0,72,92
"North Merrick CDP, New York: Summary level: 160, state:36> place:53264",11882,270,85,0,11612,3211,188,0,0,256,308
"East Nassau village, New York: Summary level: 160, state:36> place:22557",564,31,9,0,533,137,15,0,0,33,16
"Menands village, New York: Summary level: 160, state:36> place:46536",3781,620,257,0,3161,756,82,0,12,66,190
"Ravena village, New York: Summary level: 160, state:36> place:60675",3134,357,106,0,2777,476,7,31,15,36,36
"Hamburg village, New York: Summary level: 160, state:36> place:31643",9310,671,215,83,8639,2113,234,16,67,317,309
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",5544,139,14,0,5405,1453,87,0,0,121,159
"Lake Erie Beach CDP, New York: Summary level: 160, state:36> place:40486",3649,454,152,0,3195,526,22,0,16,83,14
"Lancaster village, New York: Summary level: 160, state:36> place:41135",9601,812,306,43,8789,1615,144,71,61,283,260
"Cayuga Heights village, New York: Summary level: 160, state:36> place:13079",2971,242,185,0,2729,489,42,0,0,43,44
